camp_title,camp_site,addr,latlong,location,style,tags,url
苗栗泰安_云仙谷休閒露營區,云仙谷休閒露營區,苗栗縣泰安鄉清安村腦寮庄15號,"N24.451423,E120.936116",中區,吃喝玩樂,"吹風機 老街 補給 釣魚 雲海 美景 山景",https://www.facebook.com/YunxianValley/
苗栗泰安_五鄰休閒露營區,五鄰休閒露營區,苗栗縣泰安鄉大興村5鄰42號,"N24.429198,E120.911552",中區,觀賞美景,"步道 螢火蟲 雲海 高海拔 景觀 美景 大景 銀河",https://www.facebook.com/wuyacamping.life/
苗栗泰安_亞哇斯露營區,亞哇斯露營區,苗栗縣泰安鄉八卦村3鄰53號,"N24.489484,E120.938437",中區,觀賞美景,"不高 櫻花",https://www.facebook.com/www.yawas.com.tw/
苗栗泰安_南灣蹓蹓,南灣蹓蹓,苗栗縣泰安鄉大興村6鄰南灣34號,"N24.413810,E120.914080",中區,觀賞美景,古道,https://www.facebook.com/namwam66/
苗栗泰安_印象泰雅露營區,印象泰雅露營區,苗栗縣泰安鄉象鼻村1鄰39號,"N24.373452,E120.937116",中區,吃喝玩樂,"飲水機 遊客 山景",http://dalagang.mmmtravel.com.tw/?ptype=n4p
苗栗泰安_原始原味露營區,原始原味露營區,苗栗縣泰安鄉大興村,"N24.429894,E120.910092",中區,親子同樂,"吹風機 大景",https://www.facebook.com/hy0609t/
苗栗泰安_友泰民宿溫泉館,友泰民宿溫泉館,苗栗縣泰安鄉錦水村6鄰圓敦46-2號,"N24.467500,E120.947806",中區,觀賞美景,"雨棚 步道 景觀 山景",https://www.facebook.com/yotaispring/
苗栗泰安_友田坊營地,友田坊營地,苗栗縣泰安鄉清安村12鄰洗水坑,"N24.444192,E120.922246",中區,觀賞美景,"沙坑 雲海 山景",https://www.facebook.com/a0931079745/
"苗栗泰安_司馬限 360 度景觀露營區","司馬限 360 度景觀露營區","苗栗縣泰安鄉中興村5鄰司馬限18-10號 (司馬限山附近)","N24.406389,E120.947778",中區,觀賞美景,"吹風機 步道 昆蟲 遊客 櫻花 雲海 美景 大景",https://example360blog.wordpress.com/
苗栗泰安_司馬限山嵐露營區,司馬限山嵐露營區,"苗栗縣泰安鄉中興村5鄰司馬限 (司馬限山附近)","N24.405153,E120.950195",中區,觀賞美景,"雲海 景觀",http://yuyu9273.wix.com/the-golden-mountain
苗栗泰安_吳老爹露營區,吳老爹露營區,苗栗縣泰安鄉清安村腦寮庄31號,"N24.445571,E120.945137",中區,親子同樂,"吹風機 步道",https://www.facebook.com/wudaddy2016/
苗栗泰安_咖啦灣露營區,咖啦灣露營區,苗栗縣泰安鄉錦水村7鄰圓墩60-9號,"N24.463336,E120.946834",中區,觀賞美景,山景,http://qalawan.weebly.com/
苗栗泰安_哈撒山莊,哈撒山莊,苗栗縣泰安鄉大興村4鄰58號,"N24.424583,E120.916556",中區,親子同樂,"溜滑梯 步道 蝦",https://www.facebook.com/hasamountain/
苗栗泰安_土牧驛健康農莊,土牧驛健康農莊,苗栗縣泰安鄉八卦村4鄰59-3號,"N24.492472,E120.945278",中區,親子同樂,"吹風機 雨棚 老街 溪流 景觀 山景",http://www.tumuyi.com.tw/
苗栗泰安_密式旅行,密式旅行,"苗栗縣泰安鄉大興村6號 (大興派出所附近)","N24.418716,E120.913722",中區,親子同樂,"沙坑 櫻花",https://www.facebook.com/misstravel0921/
苗栗泰安_尤巴斯露營區,"尤巴斯露營區 (大興休閒農場)",苗栗縣泰安鄉大興村,"N24.429722,E120.910917",中區,觀賞美景,"玩具 老街 景觀 美景 山景",http://ubas.pixnet.net/blog
苗栗泰安_山居營地,"山居營地 (山居小屋)",苗栗縣泰安鄉清安村大坪部落,"N24.418500,E120.928417",中區,觀賞美景,"雲海 景觀 山景",https://www.facebook.com/josh6273/
苗栗泰安_川林休閒露營區,川林休閒露營區,"苗栗縣泰安鄉士林村6鄰馬那邦45-1號 (士林水壩附近)","N24.345775,E120.933214",中區,親子同樂,"吹風機 雨棚 水池 沙坑 補給",http://riverforst888.pixnet.net/blog
苗栗泰安_布耶特景觀營地,布耶特景觀營地,"苗栗縣泰安鄉大興村 (烏嘎彥山頂)","N24.421056,E120.924000",中區,觀賞美景,雲海,https://www.facebook.com/puyatcampsite/
"苗栗泰安_思穀汗 Skuhan 休閒露營區","思穀汗 Skuhan 休閒露營區",苗栗縣泰安鄉中興村3鄰長橋33-5號,"N24.388889,E120.924167",中區,觀賞美景,"不高 桐花 雲海 美景 大景 山景",https://www.facebook.com/skuhantaian/
苗栗泰安_悠瑪的家,悠瑪的家,苗栗縣泰安鄉大興村5鄰38-5號,"N24.426056,E120.912333",中區,觀賞美景,高海拔,https://www.facebook.com/yumacamping/
苗栗泰安_撒力達露營區,撒力達露營區,苗栗縣泰安鄉象鼻村3鄰24號,"N24.355042,E120.962129",中區,觀賞美景,"步道 景觀 面海",https://www.facebook.com/salida2016/
